Date,i,pi,UNRATE,YLVL,SPREAD,r_real,y_log,x_gap_proxy,x_gap_est,rn_est
2016-08-01,0.3,1.0497862708119143,4.8,19197.938,1.25,-0.7497862708119143,9.862558156415194,0.09796681825948639,-0.3576973255533847,-0.6013619413462181
2016-09-01,0.29,1.5367755028160346,4.8,19197.938,1.32,-1.2467755028160346,9.862558156415194,0.0966646696825677,-0.35656912306524435,-0.619989066912727
2016-10-01,0.31,1.6718709909869567,4.8,19304.352,1.5,-1.3618709909869566,9.868085841701404,0.10091545714419148,-0.3480630878332508,-0.6355601858461384
2016-11-01,0.31,1.6703058710160867,4.8,19304.352,1.8900000000000001,-1.3603058710160867,9.868085841701404,0.09963855931960097,-0.3462627424447326,-0.6470690781263915
2016-12-01,0.55,2.0300531865359517,4.8,19304.352,1.9500000000000002,-1.4800531865359516,9.868085841701404,0.09836166149500869,-0.33885447671807717,-0.6549295106592469
2017-01-01,0.56,2.4794005969470234,4.7,19398.343,1.9300000000000002,-1.9194005969470234,9.87294292903244,0.10192640727883884,-0.2969880240533342,-0.6588172227336309
2017-02-01,0.57,2.771595651900416,4.7,19398.343,1.8299999999999998,-2.201595651900416,9.87294292903244,0.10063406573163469,-0.2888596626958251,-0.6535593809412658
2017-03-01,0.82,2.411875271120234,4.7,19398.343,1.65,-1.5918752711202342,9.87294292903244,0.09934172418442877,-0.2758368660508793,-0.6360846610724046
2017-04-01,0.83,2.152881766915282,4.7,19506.949,1.5,-1.3228817669152821,9.878526040045418,0.10363679258271574,-0.28976589543418513,-0.6122962356415129
2017-05-01,0.83,1.8393234242362055,4.7,19506.949,1.25,-1.0093234242362055,9.878526040045418,0.10234874996802468,-0.2936037135257326,-0.5847547252310357
2017-06-01,1.06,1.6272539252383034,4.7,19506.949,1.3,-0.5672539252383033,9.878526040045418,0.10106070735333184,-0.29131892131401727,-0.5564340219297663
2017-07-01,1.07,1.7103963201701156,4.7,19660.766,1.2499999999999998,-0.6403963201701155,9.886380355302267,0.10760939179425932,-0.30310703761629565,-0.5313242380614465
2017-08-01,1.07,1.9097688270304225,4.7,19660.766,1.1300000000000001,-0.8397688270304224,9.886380355302267,0.10630376097834038,-0.30249373286504627,-0.5082254890304848
2017-09-01,1.06,2.1571309611642775,4.7,19660.766,1.29,-1.0971309611642774,9.886380355302267,0.10499813016241788,-0.29194198526000525,-0.4846355251100631
2017-10-01,1.07,2.0006113975012063,4.2,19882.352,1.25,-0.9306113975012063,9.89758778307166,0.11485872118041307,-0.05663438638282481,-0.4622589133963325
2017-11-01,1.07,2.14923152856894,4.2,19882.352,1.17,-1.07923152856894,9.89758778307166,0.11351188442901616,-0.05143126256656774,-0.43942680354724317
2017-12-01,1.33,2.107564724618083,4.2,19882.352,1.0299999999999998,-0.7775647246180828,9.89758778307166,0.11216504767761926,-0.04078310205539892,-0.41414773135920535
2018-01-01,1.34,2.128504628435035,4.2,20044.077,1.2800000000000002,-0.788504628435035,9.90568897762083,0.11881625572423005,-0.05046716145798653,-0.38885461625617673
2018-02-01,1.35,2.2382325747230425,4.2,20044.077,1.2400000000000002,-0.8882325747230424,9.90568897762083,0.11736626922167126,-0.05013100565229814,-0.36300042544784045
2018-03-01,1.67,2.30419804576103,4.2,20044.077,1.0400000000000003,-0.6341980457610301,9.90568897762083,0.11591628271911425,-0.03602341779743858,-0.3352115529435099
2018-04-01,1.69,2.4409609642525254,4.0,20150.476,1.11,-0.7509609642525255,9.910983189924599,0.11976586196722039,0.04569233912143758,-0.3093208786583548
2018-05-01,1.7,2.7439291721927717,4.0,20150.476,0.9400000000000002,-1.0439291721927717,9.910983189924599,0.11832122891155983,0.050077441968256385,-0.2824635918182549
2018-06-01,1.91,2.768861466242001,4.0,20150.476,0.9600000000000002,-0.8588614662420009,9.910983189924599,0.11687659585589927,0.06440105479225756,-0.2510474959855589
2018-07-01,1.91,2.8141534173609095,3.8,20276.154,0.97,-0.9041534173609096,9.917200794749824,0.121553867386897,0.14932079215814248,-0.21812688731169286
2018-08-01,1.91,2.6086020438052415,3.8,20276.154,0.79,-0.6986020438052416,9.917200794749824,0.1200135340926689,0.15420774463541884,-0.18144328859275505
2018-09-01,2.18,2.3052782030269725,3.8,20276.154,0.8999999999999999,-0.12527820302697235,9.917200794749824,0.11847320079844081,0.16011846647970715,-0.14253160290467481
2018-10-01,2.2,2.4614877571210947,3.8,20304.874,0.8599999999999999,-0.2614877571210945,9.918616234733008,0.11815206704804027,0.14566389397738222,-0.1064973686717223
